method,image,spp,mse,mae,psnr,ssim
method_1_uniform_init,jaguar,1,0.09137577700734092,0.2245070513556985,10.391689170265227,0.5197167112307356
method_2_rejection_init,jaguar,1,0.09138353041986555,0.22451620662913602,10.391320678578015,0.5196830512067837
method_1_uniform_init,jaguar,4,0.03359196400009912,0.1310610902075674,14.737646037954168,0.790171435259036
method_2_rejection_init,jaguar,4,0.03359215125905601,0.1310628853592218,14.737621828204183,0.7901729295896962
method_1_uniform_init,jaguar,8,0.01867141788164408,0.09617321537990198,17.28822701076484,0.8765399217847514
method_2_rejection_init,jaguar,8,0.018671610303128604,0.09617417279411766,17.28818225403621,0.8765385035922661
method_1_uniform_init,jaguar,64,0.0027615256714665034,0.03615926106770833,25.588509151691024,0.9805202077672528
method_2_rejection_init,jaguar,64,0.0027615282527303203,0.03615932090609681,25.58850509223896,0.9805201723882934
method_1_uniform_init,jaguar,256,0.0007112566850039647,0.018228029737285538,31.4797363870346,0.9949321272891359
method_2_rejection_init,jaguar,256,0.0007112573889850057,0.01822808957567402,31.479732088517103,0.9949321201439222
method_1_uniform_init,jaguar,1024,0.00018179019750516628,0.009105667413449755,37.404295385188405,0.9987022470187079
method_2_rejection_init,jaguar,1024,0.00018179019750516628,0.009105667413449755,37.404295385188405,0.9987022470187079
method_1_uniform_init,lion,1,0.08946255904992972,0.23046952789905023,10.483586831210204,0.45066927097394777
method_2_rejection_init,lion,1,0.08946255904992972,0.23046952789905023,10.483586831210204,0.45066927097394777
method_1_uniform_init,lion,4,0.03301532210042411,0.13376333199295343,14.812844613546407,0.7271921023249576
method_2_rejection_init,lion,4,0.03301532210042411,0.13376333199295343,14.812844613546407,0.7271921023249576
method_1_uniform_init,lion,8,0.01824878779157956,0.09725958132276348,17.387659790383502,0.8320578558450694
method_2_rejection_init,lion,8,0.01824878779157956,0.09725958132276348,17.387659790383502,0.8320578558450694
method_1_uniform_init,lion,64,0.002451424134873005,0.03512555290670956,26.10581542481373,0.9743359302365171
method_2_rejection_init,lion,64,0.002451424134873005,0.03512555290670956,26.10581542481373,0.9743359302365171
method_1_uniform_init,lion,256,0.0006251386842650663,0.017572679706648286,32.04023625648418,0.9933405707208657
method_2_rejection_init,lion,256,0.0006251386842650663,0.017572679706648286,32.04023625648418,0.9933405707208657
method_1_uniform_init,lion,1024,0.00015900772839773163,0.008763571346507352,37.98581766755521,0.998302215015181
method_2_rejection_init,lion,1024,0.00015900772839773163,0.008763571346507352,37.98581766755521,0.998302215015181
method_1_uniform_init,tiger,1,0.19296626001905814,0.3557696772556679,7.145186203627322,0.3142669020684556
method_2_rejection_init,tiger,1,0.19296626001905814,0.3557696772556679,7.145186203627322,0.3142669020684556
method_1_uniform_init,tiger,4,0.07338488328369797,0.21098806343826593,11.343933921630647,0.6239010122659243
method_2_rejection_init,tiger,4,0.07338488328369797,0.21098806343826593,11.343933921630647,0.6239010122659243
method_1_uniform_init,tiger,8,0.04253248379717236,0.15903015136718748,13.712792547675486,0.7543080933927879
method_2_rejection_init,tiger,8,0.04253248379717236,0.15903015136718748,13.712792547675486,0.7543080933927879
method_1_uniform_init,tiger,64,0.006865390424130743,0.06243184407552084,21.6333476006973,0.9544762910396263
method_2_rejection_init,tiger,64,0.006865390424130743,0.06243184407552084,21.6333476006973,0.9544762910396263
method_1_uniform_init,tiger,256,0.0018712663192191705,0.03248452579273897,27.278643991721083,0.9873576442804599
method_2_rejection_init,tiger,256,0.0018712663192191705,0.03248452579273897,27.278643991721083,0.9873576442804599
method_1_uniform_init,tiger,1024,0.0004843218259653739,0.016444247376685046,33.14865959029576,0.996707533626758
method_2_rejection_init,tiger,1024,0.0004843218259653739,0.016444247376685046,33.14865959029576,0.996707533626758
method_1_uniform_init,zebra,1,0.12138528098605404,0.2868064132391238,9.158339720258862,0.3270078546883297
method_2_rejection_init,zebra,1,0.12138001872777297,0.28680132697610294,9.158527998380725,0.3270219675416621
method_1_uniform_init,zebra,4,0.04757943698599997,0.16657660989200365,13.225807013344843,0.6263845539785156
method_2_rejection_init,zebra,4,0.0475784126935854,0.1665737974877451,13.225900509476801,0.6263934026361623
method_1_uniform_init,zebra,8,0.02665593517967849,0.12211662741268381,15.742060763635742,0.7597313950781557
method_2_rejection_init,zebra,8,0.026655119969633073,0.12211590935202205,15.742193584576295,0.7597372939364329
method_1_uniform_init,zebra,64,0.003814345509764874,0.04486676384420956,24.185799703911933,0.9586790870181368
method_2_rejection_init,zebra,64,0.0038143926764946175,0.04486670400582108,24.18574600105844,0.9586785373390238
method_1_uniform_init,zebra,256,0.0009629627595906621,0.022427727194393378,30.163905079087034,0.9893021497618183
method_2_rejection_init,zebra,256,0.0009629587703647634,0.022427667356004898,30.163923070461742,0.9893021933318572
method_1_uniform_init,zebra,1024,0.0002481767829680892,0.01129341873468137,36.052388493500445,0.997225854572574
method_2_rejection_init,zebra,1024,0.00024817514034566033,0.01129335889629289,36.052417238502656,0.997225872900629
