method,spp,mse,mae,psnr,ssim
method_1_uniform_init,1,0.1237974692655957,0.27438816743738514,9.294700481340403,0.4029151847403672
method_1_uniform_init,4,0.0468929015925553,0.1605972738826976,13.530057896619015,0.6919122759571084
method_1_uniform_init,8,0.02652715616251862,0.11864489387063418,16.03268502811489,0.8056593165251911
method_1_uniform_init,64,0.003973171435058782,0.04464585547353707,24.378367970278497,0.9670028790153833
method_1_uniform_init,256,0.0010426561120197159,0.02267824060776654,30.24063042858172,0.99123312301307
method_1_uniform_init,1024,0.00026832413370909026,0.011401726217830881,36.147790284134956,0.9977344625583052
method_2_rejection_init,1,0.12379809205415661,0.2743891846899893,9.294655427949067,0.4029102979477123
method_2_rejection_init,4,0.046892692334190876,0.16059701956954658,13.53007521821451,0.6919148617041851
method_2_rejection_init,8,0.026527000465378398,0.11864495370902266,16.03270704416787,0.8056604366916391
method_2_rejection_init,64,0.003973183872057171,0.044645855473537076,24.37835352970211,0.9670027327508651
method_2_rejection_init,256,0.0010426552907085015,0.02267824060776654,30.240633851796026,0.9912331321192762
method_2_rejection_init,1024,0.0002683237230534831,0.011401711258233761,36.14779747038551,0.997734467140319
